"Relative poverty (share of the population) by age, municipality groups"
"and time"

" "," ","2015","2016","2017","2018","2019","2020","2021","2022"
"Age, total"
" ","Skive",8.9,11.0,11.9,11.1,9.7,9.5,8.5,8.0
" ","Struer",10.8,12.1,12.4,10.6,10.2,9.7,9.4,8.8
" ","Viborg",9.6,10.3,10.8,10.1,9.9,9.2,8.3,7.6
" ","Brønderslev",11.0,11.2,12.1,11.2,9.2,9.9,7.9,7.8
" ","Frederikshavn",9.6,10.7,11.3,11.3,10.2,10.8,9.7,8.6
" ","Hjørring",10.0,10.9,11.1,10.1,10.1,9.3,8.1,8.3
" ","Jammerbugt",9.8,11.8,12.6,11.4,11.9,10.1,9.5,9.3
" ","Læsø",10.1,7.2,4.5,4.3,5.1,4.0,5.5,6.8
" ","Mariagerfjord",10.3,10.9,10.4,10.5,10.9,9.6,9.3,9.1
" ","Morsø",8.8,10.7,10.5,8.9,8.9,8.7,9.7,7.9
" ","Rebild",7.1,6.8,8.4,6.5,5.8,5.6,5.1,5.4
" ","Thisted",8.6,9.9,10.2,10.2,9.5,9.4,8.9,7.7
" ","Vesthimmerlands",9.5,9.9,10.9,11.1,10.5,9.7,9.8,8.9
" ","Aalborg",7.6,8.5,8.7,8.2,8.1,7.9,7.8,7.2
"30-39 years"
" ","All Denmark",5.0,5.7,6.4,6.4,6.5,6.3,6.0,5.5
" ","Capital municipalities",5.2,5.6,6.0,6.1,6.2,5.9,5.5,5.1
" ","Metropolitan municipalities",5.1,5.7,6.6,6.8,7.1,7.0,7.0,6.5
" ","Provincial municipalities",4.6,5.5,6.2,6.3,6.4,6.2,5.9,5.4
" ","Commuter municipalities",4.1,5.2,6.0,5.9,5.9,5.5,5.3,4.8
" ","Rural municipalities",5.5,6.7,7.5,7.4,7.3,7.1,6.8,6.2
" ","Copenhagen",5.5,5.9,6.1,6.1,6.3,6.0,5.6,5.1
" ","Frederiksberg",3.7,3.9,4.2,4.3,4.0,3.9,3.8,3.7
" ","Dragør",4.2,4.1,4.8,4.2,4.4,5.4,5.2,4.0
" ","Tårnby",4.5,5.4,6.0,5.9,6.0,6.5,5.4,5.2
" ","Albertslund",8.4,8.8,9.3,9.9,11.0,10.0,8.9,8.4
" ","Ballerup",5.7,5.2,6.4,6.3,6.5,6.0,5.8,5.2
" ","Brøndby",8.2,8.9,9.8,9.8,10.4,10.1,9.5,8.0
" ","Gentofte",4.9,5.4,6.3,6.6,6.1,6.1,5.1,4.7
" ","Gladsaxe",5.3,6.2,6.6,6.2,6.1,5.6,5.7,5.6
" ","Glostrup",5.4,5.8,5.5,6.1,6.4,6.0,5.6,6.1
" ","Herlev",4.1,4.5,4.7,5.2,5.9,5.2,4.8,5.3
" ","Hvidovre",4.7,5.1,5.5,5.6,5.7,5.8,5.5,5.5
