,crim_2007,crim_2008,crim_2009,crim_2010,crim_2011,crim_2012,crim_2013,crim_2014,crim_2015,crim_2016,crim_2017,crim_2018,crim_2019,crim_2020,crim_2021,crim_2022,pop_2008,pop_2009,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020,pop_2021,pop_2022
70,2415.0,2542.0,2844.0,2608.0,2838.0,2459.0,2243.0,1951.0,1955.0,2024.0,2171.0,2147.0,1993.0,1656.0,1552.0,1786.0,182980.0,183904.0,183911.0,184216.0,183781.0,183337.0,183447.0,184831.0,185275.0,186414.0,186606.0,186812.0,186877.0,187701.0,189465.0
71,7149.0,7696.0,7967.0,7491.0,7924.0,7051.0,6784.0,5814.0,5572.0,5333.0,6212.0,6198.0,5961.0,4866.0,5001.0,5290.0,321812.0,326214.0,328862.0,332157.0,335899.0,340475.0,344033.0,347208.0,352855.0,357020.0,359512.0,363275.0,365341.0,371781.0,381257.0
72,3351.0,3383.0,3327.0,2887.0,2775.0,2492.0,2441.0,2237.0,2236.0,2490.0,1887.0,2167.0,2145.0,1934.0,1591.0,1801.0,154079.0,153171.0,152385.0,151787.0,151861.0,151976.0,151564.0,151990.0,152374.0,152444.0,151910.0,150116.0,147985.0,147916.0,148061.0
73,1106.0,1172.0,1353.0,1277.0,1214.0,1254.0,1057.0,980.0,849.0,913.0,992.0,922.0,780.0,689.0,637.0,813.0,86359.0,86501.0,87173.0,87263.0,87159.0,87298.0,87242.0,87918.0,88771.0,89867.0,90505.0,91008.0,91567.0,92304.0,93864.0
74,8331.0,8905.0,9636.0,8969.0,8930.0,7858.0,8003.0,7075.0,7153.0,7682.0,6843.0,6214.0,7420.0,6924.0,6151.0,6352.0,375421.0,377924.0,379776.0,381867.0,383394.0,384308.0,386161.0,387939.0,390803.0,392677.0,392363.0,391702.0,391898.0,393862.0,397777.0
75,209.0,178.0,132.0,184.0,167.0,156.0,151.0,147.0,183.0,174.0,143.0,169.0,153.0,150.0,105.0,162.0,16258.0,16083.0,15862.0,15542.0,15466.0,15168.0,15017.0,14872.0,14905.0,14891.0,14832.0,14710.0,14610.0,14780.0,14973.0
76,6034.0,6500.0,6426.0,6420.0,6137.0,6088.0,5589.0,5230.0,4612.0,4364.0,5182.0,5067.0,4551.0,4214.0,3904.0,4046.0,350623.0,352909.0,354422.0,356411.0,357272.0,357914.0,359150.0,361010.0,363747.0,365957.0,369492.0,373812.0,377885.0,384656.0,393172.0
77,3541.0,3514.0,3910.0,3651.0,4030.0,4049.0,3840.0,3400.0,3001.0,2994.0,3288.0,2861.0,2496.0,2006.0,2204.0,2201.0,224934.0,227558.0,229856.0,231528.0,232091.0,232558.0,233489.0,236046.0,239406.0,242694.0,245692.0,248883.0,251827.0,254613.0,258930.0
78,2594.0,2900.0,3197.0,2974.0,2848.0,2596.0,2746.0,2292.0,2228.0,2242.0,2339.0,2142.0,1894.0,1865.0,1557.0,1646.0,165278.0,165413.0,166140.0,167124.0,167445.0,167108.0,166761.0,167244.0,167597.0,168575.0,170324.0,171506.0,172387.0,173548.0,175624.0
79,36614.0,36277.0,36271.0,36641.0,39655.0,38425.0,38016.0,35165.0,31678.0,32723.0,31463.0,30428.0,29176.0,26976.0,25561.0,30303.0,1197829.0,1215943.0,1231221.0,1247136.0,1263382.0,1282165.0,1298376.0,1310405.0,1329204.0,1348841.0,1369045.0,1386489.0,1402817.0,1412872.0,1428815.0
80,5490.0,6190.0,6721.0,6127.0,5861.0,5912.0,5672.0,5117.0,5353.0,5732.0,5858.0,6004.0,5591.0,4604.0,4471.0,5506.0,338389.0,341193.0,342633.0,344019.0,345725.0,346643.0,347377.0,348537.0,351961.0,354289.0,355202.0,356103.0,357050.0,357086.0,358564.0
81,4244.0,4484.0,4248.0,3929.0,3931.0,3989.0,3758.0,3496.0,3204.0,3030.0,4040.0,3791.0,3767.0,3036.0,3216.0,2943.0,228478.0,228832.0,228564.0,228728.0,228872.0,229210.0,229697.0,230310.0,231460.0,233174.0,233871.0,234138.0,234555.0,234479.0,235104.0
82,2528.0,2777.0,2677.0,3073.0,2968.0,2667.0,2274.0,2084.0,1804.0,2216.0,4767.0,7145.0,9739.0,4050.0,2837.0,3625.0,160126.0,161038.0,161563.0,162419.0,162406.0,161994.0,162601.0,163006.0,163787.0,164813.0,165364.0,165888.0,165525.0,166750.0,168993.0
83,970.0,872.0,810.0,867.0,853.0,855.0,719.0,641.0,645.0,575.0,601.0,682.0,712.0,753.0,752.0,644.0,88000.0,87540.0,86816.0,86046.0,85214.0,84324.0,83295.0,82304.0,81385.0,81073.0,80377.0,79618.0,78668.0,78055.0,77632.0
84,3410.0,3547.0,3496.0,3534.0,3205.0,3162.0,2877.0,2675.0,2430.0,2336.0,2642.0,2363.0,1962.0,1891.0,1859.0,2073.0,234160.0,234898.0,233284.0,232229.0,231219.0,229518.0,228418.0,228345.0,228244.0,228310.0,228075.0,227410.0,225577.0,224771.0,225240.0
85,3227.0,3401.0,3524.0,3120.0,3317.0,2725.0,2824.0,2468.0,2494.0,2121.0,2258.0,2262.0,2478.0,2010.0,1863.0,2157.0,193398.0,193091.0,192344.0,191491.0,190116.0,188781.0,187484.0,186534.0,186592.0,186315.0,185793.0,184437.0,182942.0,181157.0,180767.0
